# précision  : 0.001 s
# durée      : 100 s
# particules : 9
# méthode    : Velocity-Verlet
0.000000e+00,1.120000e+00,0.000000e+00,1.110000e+00,0.000000e+00,1.120000e+00,2.230000e+00,2.240000e+00,2.220000e+00
-1.018393e-03,1.114039e+00,-3.494752e-03,1.114832e+00,-8.221581e-04,1.117261e+00,2.233597e+00,2.238647e+00,2.226960e+00
-6.443925e-03,1.106435e+00,-9.387350e-03,1.122550e+00,-4.166146e-03,1.113515e+00,2.240752e+00,2.236796e+00,2.239950e+00
-1.721250e-02,1.104459e+00,-1.454716e-02,1.125086e+00,-9.993434e-03,1.113697e+00,2.246462e+00,2.239464e+00,2.252585e+00
-2.856845e-02,1.102985e+00,-1.969789e-02,1.123237e+00,-1.521644e-02,1.113568e+00,2.251892e+00,2.246598e+00,2.265203e+00
-3.904200e-02,1.100634e+00,-2.486189e-02,1.121626e+00,-1.727065e-02,1.110281e+00,2.257326e+00,2.253453e+00,2.277854e+00
-4.949901e-02,1.098299e+00,-3.006531e-02,1.120815e+00,-1.670620e-02,1.104399e+00,2.262756e+00,2.259417e+00,2.290585e+00
-5.996145e-02,1.095963e+00,-3.525995e-02,1.120003e+00,-1.679491e-02,1.099166e+00,2.268185e+00,2.265354e+00,2.303344e+00
-7.045893e-02,1.093628e+00,-4.036904e-02,1.119192e+00,-2.035106e-02,1.097350e+00,2.273619e+00,2.271374e+00,2.316017e+00
-8.095011e-02,1.091292e+00,-4.544153e-02,1.118380e+00,-2.634256e-02,1.097927e+00,2.279054e+00,2.277503e+00,2.328578e+00
-9.135279e-02,1.088957e+00,-5.061296e-02,1.117569e+00,-3.116087e-02,1.097341e+00,2.284485e+00,2.283642e+00,2.341133e+00
-1.016696e-01,1.086621e+00,-5.590212e-02,1.116757e+00,-3.260144e-02,1.093409e+00,2.289915e+00,2.289701e+00,2.353770e+00
-1.120382e-01,1.084286e+00,-6.113536e-02,1.115946e+00,-3.180851e-02,1.087239e+00,2.295344e+00,2.295745e+00,2.366422e+00
-1.225759e-01,1.081950e+00,-6.616344e-02,1.115134e+00,-3.226218e-02,1.082280e+00,2.300771e+00,2.301870e+00,2.378995e+00
-1.331889e-01,1.079615e+00,-7.113168e-02,1.114323e+00,-3.620953e-02,1.080830e+00,2.306197e+00,2.307994e+00,2.391571e+00
-1.436991e-01,1.077280e+00,-7.629033e-02,1.113511e+00,-4.203363e-02,1.081345e+00,2.311624e+00,2.313925e+00,2.404339e+00
-1.540880e-01,1.074944e+00,-8.161288e-02,1.112700e+00,-4.636934e-02,1.080413e+00,2.317055e+00,2.319695e+00,2.417263e+00
-1.645040e-01,1.072609e+00,-8.684342e-02,1.111888e+00,-4.758921e-02,1.076301e+00,2.322487e+00,2.325607e+00,2.430044e+00
-1.750389e-01,1.070273e+00,-9.193338e-02,1.111077e+00,-4.695026e-02,1.070309e+00,2.327917e+00,2.331812e+00,2.442536e+00
-1.856284e-01,1.067938e+00,-9.696858e-02,1.110265e+00,-4.769645e-02,1.065701e+00,2.333346e+00,2.338228e+00,2.454815e+00
-1.961398e-01,1.065602e+00,-1.020820e-01,1.109454e+00,-5.176498e-02,1.064416e+00,2.338785e+00,2.344489e+00,2.467241e+00
-2.065099e-01,1.063267e+00,-1.073366e-01,1.108642e+00,-5.744470e-02,1.064742e+00,2.344231e+00,2.350445e+00,2.479965e+00
-2.168183e-01,1.060931e+00,-1.126530e-01,1.107831e+00,-6.144120e-02,1.063385e+00,2.349665e+00,2.356358e+00,2.492743e+00
-2.272232e-01,1.058596e+00,-1.178729e-01,1.107019e+00,-6.228623e-02,1.058876e+00,2.355077e+00,2.362443e+00,2.505371e+00
-2.377942e-01,1.056260e+00,-1.229267e-01,1.106208e+00,-6.158343e-02,1.052819e+00,2.360485e+00,2.368537e+00,2.517995e+00
-2.484201e-01,1.053925e+00,-1.279255e-01,1.105396e+00,-6.263513e-02,1.048517e+00,2.365911e+00,2.374398e+00,2.530833e+00
-2.589223e-01,1.051589e+00,-1.330481e-01,1.104585e+00,-6.699097e-02,1.047519e+00,2.371359e+00,2.380196e+00,2.543713e+00
-2.692392e-01,1.049254e+00,-1.383559e-01,1.103773e+00,-7.257436e-02,1.047749e+00,2.376806e+00,2.386360e+00,2.556227e+00
-2.794979e-01,1.046918e+00,-1.437221e-01,1.102962e+00,-7.616229e-02,1.045983e+00,2.382239e+00,2.392971e+00,2.568308e+00
-2.899027e-01,1.044583e+00,-1.489420e-01,1.102150e+00,-7.663785e-02,1.041105e+00,2.387669e+00,2.399531e+00,2.580444e+00
-3.005152e-01,1.042247e+00,-1.539543e-01,1.101339e+00,-7.592354e-02,1.035037e+00,2.393112e+00,2.405500e+00,2.593158e+00
-3.111700e-01,1.039912e+00,-1.589243e-01,1.100527e+00,-7.730441e-02,1.031064e+00,2.398553e+00,2.411068e+00,2.606274e+00
-3.216486e-01,1.037576e+00,-1.640704e-01,1.099716e+00,-8.191250e-02,1.030318e+00,2.403966e+00,2.416864e+00,2.619191e+00
-3.319036e-01,1.035241e+00,-1.694402e-01,1.098904e+00,-8.734927e-02,1.030401e+00,2.409360e+00,2.423089e+00,2.631697e+00
-3.421166e-01,1.032905e+00,-1.748520e-01,1.098093e+00,-9.051342e-02,1.028212e+00,2.414776e+00,2.429375e+00,2.644121e+00
-3.525321e-01,1.030570e+00,-1.800613e-01,1.097281e+00,-9.065092e-02,1.022996e+00,2.420238e+00,2.435413e+00,2.656746e+00
